Keyword Topic,Video Title,Competitor video URL,YouTube Status,Thumbnail Status,Target Month,Clients,Video Type,Related blog embeds,Thumbnail #1,Thumbnail #2,Thumbnail #3,Script (G-Doc URL),Notes,YouTube Strategist,YouTube Host,Thumbnail Editor,Video Editor,YouTube Scripter,Script Title,YouTube Status Approvals,YouTube Status Approval,Thumbnail Approvals,Thumbnail Approval
POS troubleshooting,,https://www.youtube.com/watch?v=mmBk31hOQtQ ,,,,,How to,pos system troubleshooting,,,,,"Competitor Video : terrible AI voiced video with 5k views in a year and only 107 subs
Video topic/title ideas: (solving common issues)",,,,,,,,,,
tips to increase retail sales ,,https://www.youtube.com/watch?v=0yzLPojg0f0&t=259s&pp=ygUVaW5jcmVhc2UgcmV0YWlsIHNhbGVz,,,,,Listicle (info tips),improve retail store performance,,,,,"More examples: https://www.youtube.com/watch?v=_ZkEWXAo8tk , https://www.youtube.com/watch?v=ByPPLQhdFsA&t=159s&pp=ygUVaW5jcmVhc2UgcmV0YWlsIHNhbGVz0gcJCY0JAYcqIYzv - high views and opportunity to display expertise/trust",,,,,,,,,,
The Secret Behind X Store Genius In-Store Design,,,Idea Awaiting Client Approval,,,,Brand-Jacking,retail store layouts,,,,,,,,,,,,Awaiting Approval,Awaiting Approval,,
usability testing,,https://www.youtube.com/watch?v=7pAOkWLW1Oo,,,,,Authority info,,,,,,competitor video has 14k views.,,,,,,,,,,
how to create effective user research survey,,https://www.youtube.com/watch?v=SoEsvZ_edX4,,,,,How to,,,,,,Competitor Video: 16k views,,,,,,,,,,
ux research analysis,,https://www.youtube.com/watch?v=uk7PpEGoCJM,,,,,How to,,,,,,Competitor Video has 16k views Extra example video: https://www.youtube.com/watch?v=bOoWRWMTy58,,,,,,,,,,
user research questions,,https://www.youtube.com/watch?v=H_SjVyKNXHE,,,,,Listicle (info tips),,,,,,Competitor Video- 10k views,,,,,,,,,,
user testing vs usability testing,,https://www.youtube.com/watch?v=r3j_dwMbLo0,,,,,Vs,,,,,,Competitor Video - 40k views,,,,,,,,,,
usability testing design process,,https://www.youtube.com/watch?v=RhgUirqki50,,,,,How to,,,,,,Competitor Video- 80k views ,,,,,,,,,,
user research methods,,https://www.youtube.com/watch?v=gGZGDnTY454&pp=ygUVdXNlciByZXNlYXJjaCBtZXRob2Rz0gcJCY0JAYcqIYzv,,,,,Listicle (info tips),,,,,,Competitor Video - 100k views,,,,,,,,,,
ux research methods,,https://www.youtube.com/watch?v=4ldPT4nbx5c,,,,,Listicle (info tips),,,,,,Competitor Video - 15k views (Maze),,,,,,,,,,
how to create a customer journey map,,https://www.youtube.com/watch?v=xK-2IE93HgQ,,,,,How to,,,,,,"Competitor Video - 53k views 
",,,,,,,,,,
prototype testing,,https://www.youtube.com/watch?v=pijzYKAOluw,,,,,How to,,,,,,Competitor Video - 70k views,,,,,,,,,,
best ux research tools,X Best UX Research Tools in 2025 (That Don't Break The Bank),https://www.youtube.com/watch?v=l4wx_IbUULw,,,,,Best X,,,,,,Competitor Video - 24k views,,,,,,,,,,
best prototyping tools,,https://www.youtube.com/watch?v=ozBGArOv5UU,,,,,Best X,,,,,,Competitor Video - 6k views ,,,,,,,,,,
usability report,,https://www.youtube.com/watch?v=u5RYuIU5jq8,,,,,Template,,,,,,Competitor video - 19k views (provide template as resource too) ,,,,,,,,,,
usability testing examples,,https://www.youtube.com/watch?v=EYUL0N1Fjhg&pp=ygUadXNhYmlsaXR5IHRlc3RpbmcgZXhhbXBsZXM%3D,,,,,Listicle (info tips),,,,,,Competitor Video - 16k views (demonstrate examples of good usability tests),,,,,,,,,,
heuristic evaluation,,https://www.youtube.com/watch?v=Y6B-u173hdQ&pp=ygUUaGV1cmlzdGljIGV2YWx1YXRpb24%3D,,,,,How to,,,,,,"Competitor Video- 20k views (only 1k subs - title uses words like ""ux first aid kit"" + a template)",,,,,,,,,,
ux/ui design tips,KW + Tips/Tricks Every Designer Needs to Know About,https://www.youtube.com/watch?v=8pMUkEbAM7g,,,,,Listicle (info tips),,,,,,Competitor Video- 230k views in 10 months! ,,,,,,,,,,
ux/ui design trends,,https://www.youtube.com/watch?v=BZ0QER_0ZWI,,,,,News/Trends,,,,,,"Competitor video - 365k views! (trends where you can add your unique expert thoughts to build authority)
Video topic/title ideas: (start thinking about ""2026"" trends)",,,,,,,,,,
5-second testing,,https://www.youtube.com/watch?v=vz_FXvSgQ9w&t=124s,,,,,How to,,,,,,Competitor Video - 2k views,,,,,,,,,,
ux principles,,https://www.youtube.com/watch?v=tFfQAPDGmok,,,,,Listicle (info tips),,,,,,Competitor Video - 2k views,,,,,,,,,,
qualitative vs quantitative research,,https://www.youtube.com/watch?v=a-XtVF7Bofg,,,,,Vs,,,,,,Competitor Video- 1m views!,,,,,,,,,,
qualitative data analysis,,https://www.youtube.com/watch?v=j9A3ceOBihM,,,,,How to,,,,,,Competitor Video - 831k views!,,,,,,,,,,
good vs bad ui design,Amateur vs pro ui design (examples/before and after),https://www.youtube.com/watch?v=XhdLvVmUjTQ,,,,,Vs,,,,,,Competitor Video - 226k views in 1 year (other video example: https://www.youtube.com/watch?v=XZf5A0wcruE),,,,,,,,,,
ui vs ux design,UI vs UX design (explained in under X minutes),https://www.youtube.com/watch?v=zHAa-m16NGk&pp=ygUVZ29vZCB2cyBiYWQgdWkgZGVzaWdu,,,,,Vs,,,,,,Competitor Video - 350k views!,,,,,,,,,,
semi structured interviews,,https://www.youtube.com/watch?v=Un-0du-Vcm0,,,,,How to,,,,,,Competitor Video - 25k views in a year (10.7k subs),,,,,,,,,,
gestalt principles of design,,https://www.youtube.com/watch?v=DwR0SZTBMTU,,,,,Listicle (info tips),,,,,,Competitor Video - 43k views in a year,,,,,,,,,,
ux design laws,,https://www.youtube.com/watch?v=fYs2Mdyasuc,,,,,Listicle (info tips),,,,,,Competitor Video - 310k views (19 laws of ux design),,,,,,,,,,
what is ux design,Master powerful ux/ui design in only X minutes,https://www.youtube.com/watch?v=wIuVvCuiJhU,,,,,Authority info,,,,,,Competitor Video - 1.7m views,,,,,,,,,,
card sorting,,https://www.youtube.com/watch?v=JL8WTsQSVdM&pp=ygUMY2FyZCBzb3J0aW5n,,,,,Authority info,,,,,,Competitor Video - 5k views,,,,,,,,,,
tree testing,,https://www.youtube.com/watch?v=FvJg2CjSiv8,,,,,Authority info,,,,,,"Competitor Video : 122k view (only 1k subs! Uses made up work ""tree-jacking"")",,,,,,,,,,
day in the life of a ux researcher,,https://www.youtube.com/watch?v=qqG1V0hYg7s&pp=ygUgZGF5IGluIHRoZSBsaWZlIG9mIGEgdXggZGVzaWduZXI%3D,,,,,Authority info,,,,,,Competitor video: 120k (video has potential for virality and to insert the use of Lyssna within their day of work),,,,,,,,,,
ui/ux mistakes,,https://www.youtube.com/watch?v=86PGRyQjdzQ,,,,,Brand-Jacking,,,,,,Competitor: 127k views in a month,,,,,,,,,,
examples of beautiful saas ui/ux designs,,https://www.youtube.com/watch?v=_Mya5c5qnIc,,,,,Brand-Jacking,,,,,,Competitor: 27k views in a month,,,,,,,,,,
best usability testing tools,,,,,,,Best X,,,,,,,,,,,,,,,,
MC Donald SaaS App Design,,,,,,,Brand-Jacking,,,,,,,,,,,,,,,,
